finess,rs,champ_pmsi,taa,cat,taille_MCO,taille_M,taille_C,taille_O,A7,A8,A9,A10,A11,A12,A13,A14,A15,F1_D,F1_O,F2_D,F2_O,F3_D,F3_O,F4_D,F4_O,F5_D,F5_O,F6_D,F6_O,F7_D,F7_O,F8_D,F8_O,F9_D,F9_O,F10_D,F10_O,F11_D,F11_O,F12_D,F12_O,P1,P2,P3,P4,P5,P6,P7,P8,P8new,P9,P10,P11,P12,P13,P14,P15,P16,RH1,RH2,RH3,RH4,RH5,RH6,RH8,RH9,RH10,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,CI_AC1,CI_AC2,CI_AC3,CI_AC4,CI_AC5,CI_AC6,CI_AC7,CI_AC8,CI_AC9,CI_A1,CI_A2,CI_A3,CI_A4,CI_A5,CI_A6,CI_A7,CI_A8,CI_A9,CI_A10,CI_A11,CI_A12,CI_A13,CI_A14,CI_A15,CI_A16_1,CI_A16_2,CI_A16_3,CI_A16_4,CI_A16_5,CI_A16_6,CI_A17_1,CI_A17_2,CI_A17_3,CI_A17_4,CI_A17_5,CI_A18_1,CI_A18_2,CI_A18_3,CI_A18_4,CI_A18_5,CI_E1,CI_E2,CI_E3,CI_E4,CI_E4_V2,CI_E5,CI_E6,CI_E7,CI_E7_V2,CI_F1_D,CI_F1_O,CI_F2_D,CI_F2_O,CI_F3_D,CI_F3_O,CI_F4_D,CI_F4_O,CI_F5_D,CI_F5_O,CI_F6_D,CI_F6_O,CI_F7_D,CI_F7_O,CI_F8_D,CI_F8_O,CI_F9_D,CI_F9_O,CI_F10_D,CI_F10_O,CI_F11_D,CI_F11_O,CI_F12_D,CI_F12_O,CI_F13_D,CI_F13_O,CI_F14_D,CI_F14_O,CI_F15_D,CI_F15_O,CI_F16_D,CI_F16_O,CI_F17_D,CI_F17_O,CI_RH1,CI_RH2,CI_RH3,CI_RH4,CI_RH5,CI_RH6,CI_RH7,CI_RH8,CI_RH9,CI_RH10,CI_RH11,CI_DF1,CI_DF2,CI_DF3,CI_DF4,CI_DF5
160014411,CHIC DU PAYS DE COGNAC,DGF,TAA,CH,T2,M2,C1,O2,                                      .c,"        1,32","        9,92",                                      .z,                                      .z,"         0,1","        73,7",,"        59,9","        10,3",,"         9,7",,"        75,7",,"         1,3",,"        19,1",,"         9,2",,"        87,8",,"        61,6",,"        45,7",,"        80,4",,"       142,8",,"        32,1",,"       1,072","       1,092","       0,892","        29,8",          10,"        14,2","        19,5",,,       29790,"       15,04","       63,54","       54,57","       33,33",,,"         4,3",          70,"      3169,8","     42721,3",          23,"         0,8","         2,7",,,"         1,7",60,,,,,,,,,,,         127,,           8,,           7,,,          15,           1,        4923,         318,         782,        1696,         382,         297,        1347,           0,           0,         159,         678,         377,        9594,         651,          69,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,affections médicales du nouveau né : 673,Infections respiratoires : 304,"Cardiopathies, valvulopathies : 241",Symptômes digestifs : 424,Explorations nocturnes et apparentées : 375,Traumatismes du bassin et des membres : 276,Trauma crâniens : 109,"Occlusions, sub-occlusions digestives : 81",Intervention  peau et tissu sous-cutané : 77,Pathologies ORL et Stomato autres : 16,           1,,,,,           3,           1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"       42,24","       29,19","         1,6","        3,63","        2,62","      486,29","       59,82","      341,74","        1,86","       15,43","       67,44",,,,,
170022057, GCS URGENCES DU PAYS ROYANNAIS,DGF,TAA,CH,,,,,                                      .c,,,                                      .z,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"         4,3",,,,,,,,,,Donnée Manquante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein,Cataracte,Arthroscopie du genou,Hernie enfant,RTU prostate,Hernie adulte y compris cœlioscopie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170023279,GROUPEMENT HOSPITALIER DE LA ROCHELLE-RE-AUNIS,DGF,TAA,CH,T4,M4,C4,O4,                                      .c,"        1,86","        8,37",                                      .z,                                      .z,"        43,2","        80,6","       105,9","        55,1","         6,6",,"         6,3",,"        64,8",,"         1,3",,"        19,4",,           5,,          78,,"        54,3",,"         1,8",,"        13,7",,"       114,9",,          43,,"       0,915","        0,97","        0,98",          21,"         6,9","        16,1","        18,9",      942414,,      200371,"       17,59","       71,18","       29,58",          58,          86,,"         3,9",          50,"     15728,5","     97631,9","        12,8","         2,4","         3,3",,,           0,84,,,,,,,,,,,         399,          22,           4,          16,          26,         122,          16,          44,           4,       21696,        7207,        1901,        5570,        3028,         841,        9488,           0,       12643,        1249,        1541,        8977,       30743,        3222,         144,Chirurgie du sein : 100,Cataracte : 682,Arthroscopie du genou : 172,Hernie enfant : 53,RTU prostate : 70,Hernie adulte y compris cœlioscopie : 274,affections médicales du nouveau né : 1561,Cathétérismes thérapeutiques vasculaires et coronariens : 1265,Signes et symptômes : 1163,Infections respiratoires : 850,Symptômes digestifs : 788,Cataractes : 654,"Chirurgies main, poignet : 516",Chirurgies majeures orthopédiques (dont hanche et fémur : 493,"Chirurgies transurétrales, autres : 311",Hernies : 428,           2,           1,,           1,,          15,           2,    35670367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      207,95","       112,6","        23,2",          14,"         7,1","     2653,73","      280,96","     1949,05","        65,8","       98,62","       259,3",,,,,
170780050,CH DE JONZAC,DGF,TAA,CH,T2,M2,C2,,                                      .c,"        0,67","        6,81",                                      .z,                                      .z,"        70,4","        79,8","        64,5",,"         6,6",,"         3,3",,          -8,,"        14,4",,"        61,6",,"         9,7",,          70,,"        44,3",,"        20,2",,          70,,"       130,5",,"        38,5",,"       0,981","        1,04","       1,127","        24,9","         8,8","        19,5","        23,5",      337516,,      136617,           0,           0,"       44,04","        64,1","       168,6",,           4,           0,"     20811,5","     72689,1","        14,8",           1,"         2,2",,,"        21,2",65,,,,,,,,,,,          60,,           4,,           2,          38,           3,,,        2659,        1414,           7,        1561,        1113,          90,         311,           0,           0,         101,           1,        2058,        7998,        1345,         109,Chirurgie du sein : 9,Cataracte : 350,Arthroscopie du genou : 15,Hernie enfant : 0,RTU prostate : 18,Hernie adulte y compris cœlioscopie : 97,Endoscopies digestives avec ou sans anesthésie : 476,Endoscopies digestives thérapeutiques et anesthésie : sé : 209,"Cardiopathies, valvulopathies : 138",Symptômes digestifs : 212,Signes et symptômes : 166,Cataractes : 351,"Amygdalectomies, VG, drains transT : 137",Chirurgies majeures orthopédiques (dont hanche et fémur : 141,actes ORL et stomato divers : 79,Chirurgie inter spécialités : 113,           1,,,,,           4,,     3611418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"       43,56","        20,2","         5,8",           3,"         1,6","       632,6","       81,05","      425,68","       17,28","       23,76","       84,83",,,,,
170780167,CH DE SAINT-JEAN-D'ANGELY,DGF,TAA,CH,T2,M2,C2,O2,                                      .c,"        0,44","        7,52",                                      .z,                                      .z,          59,"        88,8","        62,8","        46,6","        10,1",,"         8,6",,"        69,8",,"         2,8",,"        35,9",,"        21,4",,"        83,5",,"        32,8",,"        29,7",,"        15,7",,"       115,5",,"        50,4",,"       1,034","       1,016","        0,91","        26,6","         8,4","        18,7",          21,     1748570,,      116986,          21,"       76,58","        41,5","       65,22","       139,1","         3,1",           4,          49,       11165,"     53611,7",          26,"         2,5","         3,2",,,           0,78,,,,,,,,,,,          69,,,,           2,          34,           3,          15,,        3506,        1294,         594,        1527,         918,         101,         113,           0,           0,         109,         481,        1653,        7471,         941,          90,Chirurgie du sein : 13,Cataracte : 122,Arthroscopie du genou : 15,Hernie enfant : 3,RTU prostate : 33,Hernie adulte y compris cœlioscopie : 62,affections médicales du nouveau né : 477,"Cardiopathies, valvulopathies : 199",Infections respiratoires : 120,Cardiologie autres : 277,Endoscopies digestives thérapeutiques et anesthésie : sé : 192,Cataractes : 122,actes ORL et stomato divers : 248,Intervention  peau et tissu sous-cutané : 107,Traumatismes du bassin et des membres : 159,Chirurgies utérus / annexes : 75,           1,,,,,           4,           1,    20003642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"        40,1","        22,9","         6,6","         2,9","         2,3","      442,78","       50,01","      334,07",           3,"       21,93","       33,77",,,,,
170780175,CH DE SAINTES,DGF,TAA,CH,T3,M3,C3,O3,                                      .c,"        1,17","        6,58",                                      .z,                                      .z,          15,"        79,3",          88,"        76,2","         8,8",,"         5,5",,          15,,"        12,4",,"        68,9",,"         6,1",,"        55,6",,"        27,5",,"        16,1",,"        25,9",,"       154,3",,"        48,8",,"       0,968","       1,058","       1,091","        24,4","         8,9","        13,4","        19,7",      982117,,      266567,"       22,19","       80,53","       30,65","       45,16",,,"         8,1",          44,"     15108,5","    102311,1","        14,3",           2,"         5,1",,,"         3,8",78,,,,,,,,,,,         193,          11,           5,          12,          30,          79,,          28,,       10689,        4039,        1473,        2686,        1785,         409,        5090,       16716,        8226,         461,        1221,        4816,       17931,        2412,         139,Chirurgie du sein : 126,Cataracte : 0,Arthroscopie du genou : 48,Hernie enfant : 13,RTU prostate : 124,Hernie adulte y compris cœlioscopie : 182,affections médicales du nouveau né : 1260,Infections respiratoires : 391,AVC : 328,Autres gastroentérites et maladies diverses du tube dige : 713,Cardiologie autres : 566,"Chirurgies transurétrales, autres : 319",Chirurgies utérus / annexes : 457,Chirurgies majeures orthopédiques (dont hanche et fémur : 265,"Amygdalectomies, VG, drains transT : 239",Chirurgies appareil génital masculin : 191,           1,           1,,,,           6,           2,    13749635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"       117,9","       66,85","       11,65",           9,"         4,5","     1377,54","      141,41","      987,79","       40,21","       58,91","      149,22",,,,,
170780191,CH DE ROYAN,DGF,TAA,CH,T1,M2,C1,,                                      .c,"        1,66","       12,84",                                      .z,                                      .z,"        77,9","        85,9",,,"         6,8",,"         5,7",,"        54,1",,"         3,1",,"        40,8",,"         3,7",,"        80,5",,"        61,6",,"        24,7",,"        39,1",,"       137,1",,"        53,7",,"       0,957","       1,142","       2,552","        28,3","         8,3","        20,1","        21,2",      764574,,,,,"       19,17",           0,,"         1,4","         8,1",           0,          29,"     81676,7","        22,8","         1,3",,,,           0,62,,,,,,,,,,,         125,,          10,,          10,,,,,        5216,         350,           1,        1576,          83,           1,        1626,           0,           0,         246,           0,          94,,         705,          70,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 1,Infections respiratoires : 323,"Cardiopathies, valvulopathies : 455",Signes et symptômes : 340,"Autres Maladies immunitaires, du Sang, des Organes hémat : 282",Troubles du rythme/conduction : 187,Trauma crâniens : 108,Traumatismes du bassin et des membres : 76,Stimulateurs / défibrillateurs cardiaques : 76,Intervention  peau et tissu sous-cutané : 55,"Occlusions, sub-occlusions digestives : 59",,,,,,,,     9174891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          37,"        29,6","         0,3",           3,"         0,1","      451,15","        55,8","      309,85",           3,"        25,7","        56,8",,,,,
170780225,CH ROCHEFORT-SUR-MER,DGF,TAA,CH,T3,M3,C3,O3,                                      .c,"        1,28","        7,51",                                      .z,                                      .z,"        72,6","        80,7","        70,1","        58,4","        14,6",,"        12,5",,"        82,5",,"         2,8",,"        47,7",,"        41,5",,"        77,6",,"        72,8",,"        16,9",,"       -37,5",,"       165,6",,"        51,9",,"        0,88","       1,027","       1,061","        28,3","         7,6","        16,1","        20,5",      787148,,      192339,"       16,03","       34,41","       30,45","       59,54","        74,5",,"        12,8",          47,"     14154,5","     85314,5","        11,3","         1,8","         4,1",,,"         8,6",69,,,,,,,,,,,         169,,          14,          10,           9,          63,           7,          25,           1,        9453,        2620,        1074,        3494,        1147,         424,         494,           0,           0,          25,         886,        3076,       15324,        2013,         122,Chirurgie du sein : 20,Cataracte : 129,Arthroscopie du genou : 50,Hernie enfant : 2,RTU prostate : 33,Hernie adulte y compris cœlioscopie : 104,Endoscopies digestives avec ou sans anesthésie : 211,affections médicales du nouveau né : 889,Infections respiratoires : 400,Autres gastroentérites et maladies diverses du tube dige : 503,Endoscopies digestives thérapeutiques et anesthésie : sé : 109,Cataractes : 129,actes ORL et stomato divers : 77,"Chirurgies main, poignet : 223",Chirurgies majeures orthopédiques (dont hanche et fémur : 268,Intervention  peau et tissu sous-cutané : 240,           1,,,,,           5,           2,    14302483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"        73,3","        44,3","         8,5",           6,"         3,7","      894,85","      104,35","      665,92","        7,17","       44,16","       73,25",,,,,
170780266,CH DE BOSCAMNANT,DGF,TAA,CH,T1,M1,C0,,                                      .c,"        3,05","       27,12",                                      .z,                                      .z,"         0,7","        90,4",,,"         9,9",,           8,,"        62,7",,"         8,8",,"        45,6",,"        10,4",,"        47,2",,"        18,1",,"        32,2",,"       148,8",,"        74,5",,          68,,"       1,085","       0,908",,"        17,3","         2,9","         8,9","        33,2",,,,,,           0,,,,"        16,5",,,,"        35,5",,,,,"         0,8",55,,,,,,,,,,,          10,,,,           1,,,,,         270,           9,           0,          16,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          27,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Explorations nocturnes et apparentées : 0,Troubles mentaux d'origine organique et retards mentaux : 33,Infections respiratoires : 28,"Troubles métaboliques, nutritionnels et obésité : 11","Névroses, psychoses et autres troubles mentaux : 27","Occlusions, sub-occlusions digestives : 1",Intervention  peau et tissu sous-cutané : 0,Traumatismes du bassin et des membres : 6,"Bronchites, bronchiolites et asthme : 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"        4,55","         4,1",,,,"      139,89","       15,77","       102,8",           1,"         2,6","       17,72",,,,,
170780563,CLINIQUE PASTEUR,OQN,TAA,CLI,T2,M2,C3,O2,                                      .c,"        0,11","        2,41",                                      .z,                                      .z,           0,,"        81,5","        42,3",,"         3,3",,"         3,4",,"        32,1",,"         4,1",,"        43,7",,"         3,4",,"        71,3",,,,"       -32,5",,"        21,7",,"        27,7",,"        33,7","       0,773","       0,891","       0,923",                                      .z,                                      .z,                                      .z,                                      .z,,,      285061,"       22,91","       57,48","       38,91","        64,3","       113,8",,"        16,5",          47,"     57180,3","    115666,4","        16,8","         1,1","         5,4",                                      .z,                                      .z,                                      .z,70,,,,,,,,,,,,,           8,,,          79,          12,          24,,        2083,        4691,         856,        2303,        2990,         262,         399,           0,           0,           0,         659,        6995,,        3018,          73,Chirurgie du sein : 48,Cataracte : 861,Arthroscopie du genou : 259,Hernie enfant : 9,RTU prostate : 95,Hernie adulte y compris cœlioscopie : 304,Endoscopies digestives avec ou sans anesthésie : 737,Endoscopies digestives thérapeutiques et anesthésie : sé : 770,affections médicales du nouveau né : 656,"Infections reins et voies urinaires, lithiases : 145","Autres affections reins, voies urinaires : 186",actes ORL et stomato divers : 740,Cataractes : 862,Chirurgies majeures orthopédiques (dont hanche et fémur : 435,Chirurgies rectum/anus (hors résections) : 251,"Chirurgies transurétrales, autres : 326",,,,,,           9,           1,     3718966,,,    19398881,,    15723856,,      223700,,           0,,      179800,,         413,,    18768252,,                                      .z,,      177927,,                                      .z,,      680402,,    10014521,,     2757623,,     1115246,,    -1669404,,     2784649,,"      0,9784","       40,12","        14,1","        16,1",           6,"         2,2","       212,5","        21,8","      183,79",,"        1,91",           5,,,,,
170780613,SA CLINIQUE DU MAIL,OQN,TAA,CLI,T2,M1,C3,O2,                                      .c,"        0,23","        2,19",                                      .z,                                      .z,           0,,"        65,4",          37,,"         8,3",,"         8,8",,         100,,"         0,9",,          38,,,,"        75,5",,"        56,8",,"       -44,3",,"       -38,8",,          25,,"       105,4","       0,736","       0,816","       0,909",                                      .z,                                      .z,                                      .z,                                      .z,,,      349263,"       16,87","       92,56","       22,44","       21,02",,,,          66,"    132103,9",      199253,"       154,6",,"         2,1",                                      .z,                                      .z,                                      .z,61,,,,,,,,,,,,,,,,          81,,          36,,        1863,        4536,        1114,         480,        1328,          90,          71,           0,           0,           0,        1002,        5715,,         801,          60,Chirurgie du sein : 223,Cataracte : 0,Arthroscopie du genou : 102,Hernie enfant : 3,RTU prostate : 75,Hernie adulte y compris cœlioscopie : 320,affections médicales du nouveau né : 978,"Endoscopies génito-urinaires, avec ou sans anesthésie : 252",Maladies osseuses et arthropathies : 101,Cathétérismes thérapeutiques vasculaires et coronariens : 93,"Autres affections hépatiques, voies biliaires : 68",Autres chirurgies gynécologiques autres que le sein : 477,actes ORL et stomato divers : 17,Hernies : 384,Chirurgies utérus / annexes : 523,"Amygdalectomies, VG, drains transT : 305",,,,,,           6,           1,     1731163,,,    18293497,,    12693453,,      126425,,           0,,       83473,,         398,,    16782273,,                                      .z,,      700876,,                                      .z,,     1649272,,     8093575,,     1455709,,    -1784111,,    -2038367,,      254256,,"      1,0052","       26,58","         8,4","         7,6","         4,4",           5,"      161,38","       24,57","      130,68",,"        2,13",           4,,,,,
170780621,POLYCLINIQUE SAINT-GEORGES,OQN,TAA,CLI,T1,M1,C2,,                                      .c,"        0,07","        1,32",                                      .z,                                      .z,           0,,"        75,5",,,,,,,,,,,,,,,,,,,,,,,,,,"       0,734","       0,811",,                                      .z,                                      .z,                                      .z,                                      .z,,,      260190,,,"       57,14","       66,42","        63,2",,,,"     77765,2","    230503,8","        17,1","         0,4",,                                      .z,                                      .z,                                      .z,73,,,,,,,,,,,,,,,,          26,          15,,,         382,        1563,           0,        1637,        2084,           1,           0,           0,           0,           0,           0,        3250,,        1799,          39,Chirurgie du sein : 40,Cataracte : 716,Arthroscopie du genou : 204,Hernie enfant : 1,RTU prostate : 26,Hernie adulte y compris cœlioscopie : 142,Endoscopies digestives avec ou sans anesthésie : 934,Endoscopies digestives thérapeutiques et anesthésie : sé : 404,Autres gastroentérites et maladies diverses du tube dige : 72,Symptômes digestifs : 63,"Endoscopies génito-urinaires, avec ou sans anesthésie : 59",Cataractes : 722,Greffes peau / parages hors brûlures : 482,Chirurgies majeures orthopédiques (dont hanche et fémur : 268,actes ORL et stomato divers : 238,"Arthroscopies, Biopsies ostéo-articulaires : 217",,,,,,           5,,      522169,,,,,     5601419,,       44193,,           0,,           0,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,"       1,012","       15,59","        6,89","         4,2",           3,,"       71,02","       10,25","       52,91",,,"        7,86",,,,,
170780647,SA CLINIQUE RICHELIEU,OQN,TAA,CLI,T2,M1,C3,,                                      .c,"        0,09","        1,25",                                      .z,                                      .z,           0,,"        36,2",,,"         4,2",,"         3,7",,         100,,"         0,6",,"         7,1",,,,"        66,3",,,,"       -27,8",,"       -20,8",,"        13,8",,"        48,7","       0,734","       0,816",,                                      .z,                                      .z,                                      .z,                                      .z,,,      199598,,,"       56,63","       73,37","       114,4",,,,      132846,"     77414,6","        56,6",,,                                      .z,                                      .z,                                      .z,84,,,,,,,,,,,,,,,,          70,          12,,,         531,        2308,           0,        1980,        3020,           0,           0,           0,           0,           1,           0,        4763,,        2310,          34,Chirurgie du sein : 27,Cataracte : 1824,Arthroscopie du genou : 148,Hernie enfant : 4,RTU prostate : 37,Hernie adulte y compris cœlioscopie : 107,Endoscopies digestives avec ou sans anesthésie : 1144,Endoscopies digestives thérapeutiques et anesthésie : sé : 666,"Autres séj. sans acte, avec anesthésie, en ambulatoire : 78",Autres gastroentérites et maladies diverses du tube dige : 83,Autres affections digestives : 40,Cataractes : 1826,"Chirurgies main, poignet : 447",actes ORL et stomato divers : 373,Chirurgies majeures orthopédiques (dont hanche et fémur : 368,"Arthroscopies, Biopsies ostéo-articulaires : 169",,,,,,           7,,      927775,,,     8232151,,     7987876,,       39000,,           0,,       39000,,,,     7888182,,                                      .z,,      114201,,                                      .z,,      312992,,     3748449,,      172256,,     -449821,,     -600040,,      150221,,"      0,9694","        21,4",           4,"        12,9",           3,,"       78,46","       10,99","       63,15",,"         1,8","        2,52",,,,,
170780662,CENTRE MÉDICO-CHIRURGICAL DE L'ATLANTIQUE,OQN,TAA,CLI,T3,M2,C3,,                                      .c,"        0,23","         1,1",                                      .z,                                      .z,           0,,"        60,6",,,"         7,5",,"         6,8",,         100,,           0,,           0,,"        23,3",,"        79,3",,"        54,2",,"       -52,4",,"        21,6",,"        20,5",,"       112,3","       0,722","       0,912",,                                      .z,                                      .z,                                      .z,                                      .z,,,      473659,,,"       53,42","       63,59","       244,7",,,           0,"    175948,5","     78886,3","        37,4",,,                                      .z,                                      .z,                                      .z,65,,,,,,,,,,,,,,,,          61,           9,,,         336,        4132,           0,         788,        4774,           0,           0,           0,           0,           0,           0,        8526,,         980,          26,Chirurgie du sein : 76,Cataracte : 3260,Arthroscopie du genou : 542,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Endoscopies digestives avec ou sans anesthésie : 292,Endoscopies digestives thérapeutiques et anesthésie : sé : 234,"Autres séj. sans acte, avec anesthésie, en ambulatoire : 75",Autres gastroentérites et maladies diverses du tube dige : 39,"Endoscopies bronchiques, avec ou sans anesthésie : 0",Cataractes : 3263,"Chirurgies main, poignet : 774","Arthroscopies, Biopsies ostéo-articulaires : 642",Chirurgies majeures orthopédiques (dont hanche et fémur : 492,Greffes peau / parages hors brûlures : 350,,,,,,           5,,      484160,,,    11322315,,    10236904,,       67406,,           0,,       67406,,         636,,    10474837,,                                      .z,,      353730,,                                      .z,,      787347,,     8097273,,        1868,,      620272,,    -1502491,,     2122764,,           1,"        34,6","         6,2","        21,1",           4,"         0,2","      125,82","       16,77","      106,05",,,           3,,,,,
180000028,CH J. COEUR BOURGES,DGF,TAA,CH,T3,M3,C3,O4,                                      .c,"        1,31","        5,77",                                      .z,                                      .z,"        42,2","        81,4","        85,2",          45,"         5,7",,"         4,9",,"        61,5",,"         3,6",,"        27,1",,"         2,8",,"        78,1",,"        32,3",,"        26,1",,"        44,1",,"       140,6",,"        31,9",,"       1,191","       1,241","       1,096",          24,"         9,1","        13,7","        18,4",      702743,,      245513,"       16,02","        67,5","       28,96","       61,97","        94,4","         1,4",,          46,"     23072,1","     84799,1","        27,3","         1,8","         3,3",,,           0,83,,,,,,,,,,,         339,          13,          14,          12,          28,         116,          10,          55,           8,       15267,        5073,        1734,        5540,        2072,         737,        2235,           0,       12750,        1382,        1436,        6657,       23597,        2789,         125,Chirurgie du sein : 164,Cataracte : 1007,Arthroscopie du genou : 141,Hernie enfant : 24,RTU prostate : 62,Hernie adulte y compris cœlioscopie : 181,affections médicales du nouveau né : 1478,Cathétérismes thérapeutiques vasculaires et coronariens : 931,Cathéthérismes diagnostiques vasculaires et coronariens : 999,"Cardiopathies, valvulopathies : 643",AVC : 615,Cataractes : 998,Chirurgies majeures orthopédiques (dont hanche et fémur : 396,Chirurgie du membre supérieur (hors prothèses) : 234,Stimulateurs / défibrillateurs cardiaques : 260,Traumatismes du bassin et des membres : 269,           1,           1,,           1,,           9,           2,    21187692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"       131,3","       82,75","        19,1",           9,"        7,15","      1561,7","       158,1","     1172,55","        8,21","       75,12","      147,72",,,,,
180000051,CH VIERZON,DGF,TAA,CH,T2,M2,C2,O2,                                      .c,"        0,74","        7,74",                                      .z,                                      .z,"        59,3","        88,3","        76,7","        56,8","         3,3",,"         0,9",,"      -109,8",,"        51,9",,"        71,1",,"        20,1",,"        69,4",,"        42,8",,"        12,4",,"        -3,6",,"       110,6",,"        36,2",,"       1,116","       1,149","       0,931",          26,"         9,4","        25,1","        22,8",      641158,,      118718,"       26,53","       69,46","       31,68","       55,86","       111,2",,"         8,4",          43,"     14353,2",       68438,"        16,6","         2,1","         3,5",,,"        10,1",83,,,,,,,,,,,          97,,           6,,           3,          38,           3,          15,           3,        4662,        1583,         708,        1310,         734,         430,         840,           0,           0,          21,         505,        2090,       11653,        1013,         104,Chirurgie du sein : 4,Cataracte : 61,Arthroscopie du genou : 28,Hernie enfant : 3,RTU prostate : 13,Hernie adulte y compris cœlioscopie : 110,affections médicales du nouveau né : 494,Endoscopies digestives avec ou sans anesthésie : 281,Infections respiratoires : 306,Endoscopies digestives thérapeutiques et anesthésie : sé : 136,Autres gastroentérites et maladies diverses du tube dige : 287,"Chirurgies main, poignet : 145",Cataractes : 63,Chirurgies majeures orthopédiques (dont hanche et fémur : 156,Hernies : 131,Chirurgie inter spécialités : 131,           1,,,,,           5,           1,     6860394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"        48,2","        19,4","         6,4","         3,5","         2,6","      635,48","        67,9","      459,78","         3,3","        27,1","        77,4",,,,,
180000069,CH ST AMAND MONTROND,DGF,TAA,CH,T1,M2,C1,O2,                                      .c,"        0,89","       14,37",                                      .z,                                      .z,"        43,7","        88,4",,"        44,6","        11,6",,"         8,8",,"        54,2",,"         5,3",,"        52,6",,"         1,2",,"        79,9",,"        34,4",,"        31,7",,"        99,2",,"       126,7",,"        36,7",,"       1,058","       1,164","       1,115","        28,1","        11,1","         9,5","        26,1",,,,"       15,14","       64,62","       18,05",           0,,"         1,2",,          44,"      3022,4",       54287,"        32,1","         4,2",           3,,,"         0,2",82,,,,,,,,,,,          77,,,,,,,          15,,        2938,         277,         493,         397,          61,         203,          54,           0,           0,           0,         383,         277,        8895,         166,          57,Chirurgie du sein : 28,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,affections médicales du nouveau né : 366,Infections respiratoires : 206,Signes et symptômes : 95,"Cardiopathies, valvulopathies : 187",Cardiologie autres : 152,Traumatismes du bassin et des membres : 51,Intervention  peau et tissu sous-cutané : 73,Trauma crâniens : 28,"Occlusions, sub-occlusions digestives : 30",Chirurgies utérus / annexes : 40,,,,,,,           1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"       28,15","       21,68",           1,"         1,2","         2,2","      484,68","       45,74","      373,88","        4,86","        9,84","       50,36",,,,,
